id,sensor_id,data,time_stamp
5118,'7',8.7,'2021-10-25T00:19:15.703353+02'
5119,'7',8.8,'2021-10-25T00:40:45.006919+02'
5120,'7',8.9,'2021-10-25T01:02:08.607269+02'
5121,'7',9.0,'2021-10-25T01:24:24.461762+02'
5122,'7',9.1,'2021-10-25T01:45:55.998329+02'
5123,'7',9.1,'2021-10-25T02:07:10.111407+02'
5124,'7',9.1,'2021-10-25T02:29:20.824783+02'
5125,'7',9.2,'2021-10-25T02:50:27.954448+02'
5126,'7',9.4,'2021-10-25T03:12:29.637627+02'
5127,'7',9.4,'2021-10-25T03:34:09.450566+02'
5128,'7',9.3,'2021-10-25T03:56:35.535574+02'
5129,'7',9.2,'2021-10-25T04:17:52.00413+02'
5130,'7',9.2,'2021-10-25T04:39:21.674189+02'
5131,'7',9.1,'2021-10-25T05:00:54.288408+02'
5132,'7',9.1,'2021-10-25T05:21:55.747322+02'
5133,'7',9.1,'2021-10-25T05:43:15.845946+02'
5134,'7',9.3,'2021-10-25T06:06:17.362349+02'
5135,'7',9.3,'2021-10-25T06:27:58.652556+02'
5136,'7',9.2,'2021-10-25T06:48:41.457376+02'
5137,'7',9.2,'2021-10-25T07:09:27.652476+02'
5138,'7',9.0,'2021-10-25T07:30:45.408234+02'
5139,'7',8.9,'2021-10-25T07:52:00.633568+02'
5140,'7',8.8,'2021-10-25T08:13:46.583708+02'
5141,'7',8.7,'2021-10-25T08:35:50.616079+02'
5142,'7',8.8,'2021-10-25T08:56:36.479451+02'
5143,'7',8.9,'2021-10-25T09:17:28.308339+02'
5144,'7',9.1,'2021-10-25T09:39:58.63844+02'
5145,'7',9.4,'2021-10-25T10:02:01.794645+02'
5146,'7',9.6,'2021-10-25T10:23:26.598217+02'
5147,'7',9.9,'2021-10-25T10:44:27.773502+02'
5148,'7',10.1,'2021-10-25T11:05:20.784904+02'
5149,'7',10.2,'2021-10-25T11:26:24.303063+02'
5150,'7',10.4,'2021-10-25T11:47:51.658128+02'
5151,'7',10.4,'2021-10-25T12:08:45.656932+02'
5152,'7',10.7,'2021-10-25T12:29:31.526743+02'
5153,'7',10.9,'2021-10-25T12:51:07.643431+02'
5154,'7',11.0,'2021-10-25T13:12:27.270359+02'
5155,'7',11.2,'2021-10-25T13:35:04.996922+02'
5156,'7',11.5,'2021-10-25T13:56:28.849375+02'
5157,'7',11.7,'2021-10-25T14:17:51.86171+02'
5158,'7',11.8,'2021-10-25T14:38:34.114982+02'
5159,'7',11.9,'2021-10-25T14:59:53.629301+02'
5160,'7',12.1,'2021-10-25T15:20:42.331129+02'
5161,'7',12.1,'2021-10-25T15:41:49.316306+02'
5162,'7',12.4,'2021-10-25T16:03:50.79283+02'
5163,'7',12.5,'2021-10-25T16:24:37.192499+02'
5164,'7',12.4,'2021-10-25T16:45:47.711194+02'
5165,'7',12.5,'2021-10-25T17:07:39.373251+02'
5166,'7',12.6,'2021-10-25T17:29:14.192734+02'
5167,'7',12.3,'2021-10-25T17:50:52.079427+02'
5168,'7',12.2,'2021-10-25T18:12:36.476158+02'
5169,'7',12.1,'2021-10-25T18:34:10.913116+02'
5170,'7',11.7,'2021-10-25T18:56:29.721422+02'
5171,'7',11.6,'2021-10-25T19:17:55.609398+02'
5172,'7',11.7,'2021-10-25T19:38:19.832407+02'
5173,'7',11.5,'2021-10-25T20:00:14.170635+02'
5174,'7',11.4,'2021-10-25T20:21:50.27693+02'
5175,'7',11.3,'2021-10-25T20:43:03.094983+02'
5176,'7',11.3,'2021-10-25T21:05:55.02324+02'
5177,'7',11.2,'2021-10-25T21:26:39.729944+02'
5178,'7',11.3,'2021-10-25T21:48:10.611644+02'
5179,'7',11.2,'2021-10-25T22:09:26.574324+02'
5180,'7',11.2,'2021-10-25T22:32:12.76359+02'
5181,'7',11.3,'2021-10-25T22:53:33.045095+02'
5182,'7',11.2,'2021-10-25T23:16:11.243437+02'
5183,'7',11.1,'2021-10-25T23:38:10.017056+02'
5184,'7',11.0,'2021-10-25T23:59:37.057061+02'
5185,'7',10.8,'2021-10-26T00:21:06.253795+02'
5186,'7',10.8,'2021-10-26T00:42:27.290947+02'
5187,'7',10.6,'2021-10-26T01:04:41.419844+02'
5188,'7',10.6,'2021-10-26T01:26:12.516171+02'
5189,'7',10.4,'2021-10-26T01:48:22.083376+02'
5190,'7',10.2,'2021-10-26T02:09:36.558878+02'
